0:1,46:0,76:-0,57; 11:1,55:0,93:-0,35; 12:1,4:0,99:-0,18; 13:1,57:0,66:-0,66; 14:1,29:1,05:-0,18; 15:1,52:0,42:-0,86; 16:1,18:1,06:-0,26; 21:1,49:0,4:-0,87; 22:1,16:1,06:-0,28; 23:1,54:1,44:-0,03; 24:1,45:1,47:0,03; 25:1,62:1,78:-0,26; 26:1,46:1,89:0,04; 27:1,7:2,15:-0,09; 28:1,49:2,31:0,17; 31:1,73:2,27:-0,29; 32:1,48:2,41:-0,05
0:1,46:0,76:-0,57; 11:1,55:0,93:-0,35; 12:1,4:0,99:-0,18; 13:1,57:0,66:-0,66; 14:1,29:1,05:-0,18; 15:1,52:0,42:-0,86; 16:1,18:1,06:-0,26; 21:1,49:0,4:-0,87; 22:1,16:1,06:-0,28; 23:1,54:1,44:-0,03; 24:1,45:1,47:0,03; 25:1,62:1,78:-0,26; 26:1,46:1,89:0,04; 27:1,7:2,15:-0,09; 28:1,49:2,31:0,17; 31:1,73:2,27:-0,29; 32:1,48:2,41:-0,05
0:1,46:0,76:-0,68; 11:1,56:0,93:-0,4; 12:1,41:0,99:-0,25; 13:1,58:0,66:-0,64; 14:1,29:1,05:-0,23; 15:1,52:0,42:-0,76; 16:1,18:1,06:-0,3; 21:1,49:0,4:-0,76; 22:1,16:1,06:-0,32; 23:1,54:1,44:-0,02; 24:1,45:1,48:0,02; 25:1,63:1,79:-0,05; 26:1,46:1,9:0,02; 27:1,71:2,14:0,19; 28:1,5:2,31:0,24; 31:1,73:2,27:-0,01; 32:1,48:2,41:0,02
0:1,46:0,76:-0,57; 11:1,55:0,93:-0,35; 12:1,4:0,99:-0,18; 13:1,57:0,66:-0,66; 14:1,29:1,05:-0,18; 15:1,52:0,42:-0,86; 16:1,18:1,06:-0,26; 21:1,49:0,4:-0,87; 22:1,16:1,06:-0,28; 23:1,54:1,44:-0,03; 24:1,45:1,47:0,03; 25:1,62:1,78:-0,26; 26:1,46:1,89:0,04; 27:1,7:2,15:-0,09; 28:1,49:2,31:0,17; 31:1,73:2,27:-0,29; 32:1,48:2,41:-0,05
0:1,46:0,76:-0,68; 11:1,56:0,93:-0,4; 12:1,41:0,99:-0,25; 13:1,58:0,66:-0,64; 14:1,29:1,05:-0,23; 15:1,52:0,42:-0,76; 16:1,18:1,06:-0,3; 21:1,49:0,4:-0,76; 22:1,16:1,06:-0,32; 23:1,54:1,44:-0,02; 24:1,45:1,48:0,02; 25:1,63:1,79:-0,05; 26:1,46:1,9:0,02; 27:1,71:2,14:0,19; 28:1,5:2,31:0,24; 31:1,73:2,27:-0,01; 32:1,48:2,41:0,02
0:1,47:0,76:-0,65; 11:1,57:0,92:-0,39; 12:1,41:0,99:-0,23; 13:1,58:0,65:-0,65; 14:1,3:1,05:-0,18; 15:1,52:0,42:-0,76; 16:1,19:1,06:-0,21; 21:1,5:0,4:-0,76; 22:1,17:1,06:-0,23; 23:1,55:1,44:-0,02; 24:1,45:1,48:0,02; 25:1,63:1,79:-0,15; 26:1,47:1,9:0,01; 27:1,71:2,13:0,08; 28:1,5:2,3:0,18; 31:1,74:2,26:-0,11; 32:1,48:2,41:-0,05
0:1,46:0,76:-0,57; 11:1,55:0,93:-0,35; 12:1,4:0,99:-0,18; 13:1,57:0,66:-0,66; 14:1,29:1,05:-0,18; 15:1,52:0,42:-0,86; 16:1,18:1,06:-0,26; 21:1,49:0,4:-0,87; 22:1,16:1,06:-0,28; 23:1,54:1,44:-0,03; 24:1,45:1,47:0,03; 25:1,62:1,78:-0,26; 26:1,46:1,89:0,04; 27:1,7:2,15:-0,09; 28:1,49:2,31:0,17; 31:1,73:2,27:-0,29; 32:1,48:2,41:-0,05
0:1,46:0,76:-0,68; 11:1,56:0,93:-0,4; 12:1,41:0,99:-0,25; 13:1,58:0,66:-0,64; 14:1,29:1,05:-0,23; 15:1,52:0,42:-0,76; 16:1,18:1,06:-0,3; 21:1,49:0,4:-0,76; 22:1,16:1,06:-0,32; 23:1,54:1,44:-0,02; 24:1,45:1,48:0,02; 25:1,63:1,79:-0,05; 26:1,46:1,9:0,02; 27:1,71:2,14:0,19; 28:1,5:2,31:0,24; 31:1,73:2,27:-0,01; 32:1,48:2,41:0,02
0:1,47:0,76:-0,65; 11:1,57:0,92:-0,39; 12:1,41:0,99:-0,23; 13:1,58:0,65:-0,65; 14:1,3:1,05:-0,18; 15:1,52:0,42:-0,76; 16:1,19:1,06:-0,21; 21:1,5:0,4:-0,76; 22:1,17:1,06:-0,23; 23:1,55:1,44:-0,02; 24:1,45:1,48:0,02; 25:1,63:1,79:-0,15; 26:1,47:1,9:0,01; 27:1,71:2,13:0,08; 28:1,5:2,3:0,18; 31:1,74:2,26:-0,11; 32:1,48:2,41:-0,05
0:1,47:0,76:-0,62; 11:1,57:0,92:-0,36; 12:1,42:0,99:-0,2; 13:1,59:0,65:-0,58; 14:1,3:1,06:-0,16; 15:1,52:0,42:-0,7; 16:1,19:1,07:-0,21; 21:1,5:0,41:-0,71; 22:1,17:1,07:-0,23; 23:1,55:1,44:-0,02; 24:1,45:1,48:0,02; 25:1,63:1,79:-0,13; 26:1,47:1,9:0; 27:1,71:2,13:0,09; 28:1,5:2,3:0,18; 31:1,74:2,26:-0,11; 32:1,48:2,41:-0,05
0:1,46:0,76:-0,57; 11:1,55:0,93:-0,35; 12:1,4:0,99:-0,18; 13:1,57:0,66:-0,66; 14:1,29:1,05:-0,18; 15:1,52:0,42:-0,86; 16:1,18:1,06:-0,26; 21:1,49:0,4:-0,87; 22:1,16:1,06:-0,28; 23:1,54:1,44:-0,03; 24:1,45:1,47:0,03; 25:1,62:1,78:-0,26; 26:1,46:1,89:0,04; 27:1,7:2,15:-0,09; 28:1,49:2,31:0,17; 31:1,73:2,27:-0,29; 32:1,48:2,41:-0,05
0:1,46:0,76:-0,68; 11:1,56:0,93:-0,4; 12:1,41:0,99:-0,25; 13:1,58:0,66:-0,64; 14:1,29:1,05:-0,23; 15:1,52:0,42:-0,76; 16:1,18:1,06:-0,3; 21:1,49:0,4:-0,76; 22:1,16:1,06:-0,32; 23:1,54:1,44:-0,02; 24:1,45:1,48:0,02; 25:1,63:1,79:-0,05; 26:1,46:1,9:0,02; 27:1,71:2,14:0,19; 28:1,5:2,31:0,24; 31:1,73:2,27:-0,01; 32:1,48:2,41:0,02
0:1,47:0,76:-0,65; 11:1,57:0,92:-0,39; 12:1,41:0,99:-0,23; 13:1,58:0,65:-0,65; 14:1,3:1,05:-0,18; 15:1,52:0,42:-0,76; 16:1,19:1,06:-0,21; 21:1,5:0,4:-0,76; 22:1,17:1,06:-0,23; 23:1,55:1,44:-0,02; 24:1,45:1,48:0,02; 25:1,63:1,79:-0,15; 26:1,47:1,9:0,01; 27:1,71:2,13:0,08; 28:1,5:2,3:0,18; 31:1,74:2,26:-0,11; 32:1,48:2,41:-0,05
0:1,47:0,76:-0,62; 11:1,57:0,92:-0,36; 12:1,42:0,99:-0,2; 13:1,59:0,65:-0,58; 14:1,3:1,06:-0,16; 15:1,52:0,42:-0,7; 16:1,19:1,07:-0,21; 21:1,5:0,41:-0,71; 22:1,17:1,07:-0,23; 23:1,55:1,44:-0,02; 24:1,45:1,48:0,02; 25:1,63:1,79:-0,13; 26:1,47:1,9:0; 27:1,71:2,13:0,09; 28:1,5:2,3:0,18; 31:1,74:2,26:-0,11; 32:1,48:2,41:-0,05
0:1,47:0,76:-0,64; 11:1,57:0,92:-0,41; 12:1,42:0,99:-0,22; 13:1,59:0,65:-0,7; 14:1,3:1,06:-0,19; 15:1,53:0,42:-0,91; 16:1,19:1,07:-0,26; 21:1,5:0,41:-0,92; 22:1,17:1,07:-0,29; 23:1,55:1,44:-0,03; 24:1,46:1,48:0,03; 25:1,63:1,8:-0,13; 26:1,47:1,9:0,07; 27:1,71:2,14:0,09; 28:1,51:2,3:0,23; 31:1,75:2,26:-0,11; 32:1,48:2,41:-0
