0:1,52:0,57:-1,17; 11:1,59:0,84:-0,51; 12:1,4:0,8:-0,59; 13:1,72:0,95:-0,49; 14:1,25:0,79:-0,68; 15:1,86:0,99:-0,84; 16:1,15:0,69:-1,04; 21:1,89:1,01:-0,89; 22:1,13:0,66:-1,08; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,79:1,32:-0,32; 26:1,48:1,78:-0,34; 27:1,74:1,49:0,4; 28:1,51:2,2:-0,02; 31:1,75:1,6:0,29; 32:1,49:2,34:-0,31
0:1,52:0,57:-1,17; 11:1,59:0,84:-0,51; 12:1,4:0,8:-0,59; 13:1,72:0,95:-0,49; 14:1,25:0,79:-0,68; 15:1,86:0,99:-0,84; 16:1,15:0,69:-1,04; 21:1,89:1,01:-0,89; 22:1,13:0,66:-1,08; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,79:1,32:-0,32; 26:1,48:1,78:-0,34; 27:1,74:1,49:0,4; 28:1,51:2,2:-0,02; 31:1,75:1,6:0,29; 32:1,49:2,34:-0,31
0:1,52:0,57:-1,12; 11:1,6:0,84:-0,48; 12:1,4:0,8:-0,55; 13:1,72:0,95:-0,44; 14:1,25:0,79:-0,61; 15:1,87:0,99:-0,75; 16:1,15:0,69:-0,95; 21:1,89:1,01:-0,8; 22:1,13:0,66:-0,99; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,8:1,33:-0,24; 26:1,48:1,78:-0,31; 27:1,74:1,49:0,48; 28:1,51:2,2:0,03; 31:1,75:1,6:0,38; 32:1,49:2,34:-0,24
0:1,52:0,57:-1,17; 11:1,59:0,84:-0,51; 12:1,4:0,8:-0,59; 13:1,72:0,95:-0,49; 14:1,25:0,79:-0,68; 15:1,86:0,99:-0,84; 16:1,15:0,69:-1,04; 21:1,89:1,01:-0,89; 22:1,13:0,66:-1,08; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,79:1,32:-0,32; 26:1,48:1,78:-0,34; 27:1,74:1,49:0,4; 28:1,51:2,2:-0,02; 31:1,75:1,6:0,29; 32:1,49:2,34:-0,31
0:1,52:0,57:-1,12; 11:1,6:0,84:-0,48; 12:1,4:0,8:-0,55; 13:1,72:0,95:-0,44; 14:1,25:0,79:-0,61; 15:1,87:0,99:-0,75; 16:1,15:0,69:-0,95; 21:1,89:1,01:-0,8; 22:1,13:0,66:-0,99; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,8:1,33:-0,24; 26:1,48:1,78:-0,31; 27:1,74:1,49:0,48; 28:1,51:2,2:0,03; 31:1,75:1,6:0,38; 32:1,49:2,34:-0,24
0:1,52:0,57:-1,1; 11:1,6:0,84:-0,48; 12:1,4:0,8:-0,54; 13:1,72:0,95:-0,45; 14:1,26:0,79:-0,54; 15:1,87:0,99:-0,75; 16:1,15:0,69:-0,81; 21:1,89:1,01:-0,8; 22:1,13:0,66:-0,85; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,8:1,33:-0,16; 26:1,48:1,78:-0,11; 27:1,74:1,5:0,59; 28:1,51:2,21:0,21; 31:1,75:1,61:0,53; 32:1,49:2,34:-0,05
0:1,52:0,57:-1,17; 11:1,59:0,84:-0,51; 12:1,4:0,8:-0,59; 13:1,72:0,95:-0,49; 14:1,25:0,79:-0,68; 15:1,86:0,99:-0,84; 16:1,15:0,69:-1,04; 21:1,89:1,01:-0,89; 22:1,13:0,66:-1,08; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,79:1,32:-0,32; 26:1,48:1,78:-0,34; 27:1,74:1,49:0,4; 28:1,51:2,2:-0,02; 31:1,75:1,6:0,29; 32:1,49:2,34:-0,31
0:1,52:0,57:-1,12; 11:1,6:0,84:-0,48; 12:1,4:0,8:-0,55; 13:1,72:0,95:-0,44; 14:1,25:0,79:-0,61; 15:1,87:0,99:-0,75; 16:1,15:0,69:-0,95; 21:1,89:1,01:-0,8; 22:1,13:0,66:-0,99; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,8:1,33:-0,24; 26:1,48:1,78:-0,31; 27:1,74:1,49:0,48; 28:1,51:2,2:0,03; 31:1,75:1,6:0,38; 32:1,49:2,34:-0,24
0:1,52:0,57:-1,1; 11:1,6:0,84:-0,48; 12:1,4:0,8:-0,54; 13:1,72:0,95:-0,45; 14:1,26:0,79:-0,54; 15:1,87:0,99:-0,75; 16:1,15:0,69:-0,81; 21:1,89:1,01:-0,8; 22:1,13:0,66:-0,85; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,8:1,33:-0,16; 26:1,48:1,78:-0,11; 27:1,74:1,5:0,59; 28:1,51:2,21:0,21; 31:1,75:1,61:0,53; 32:1,49:2,34:-0,05
0:1,52:0,57:-1,07; 11:1,6:0,84:-0,45; 12:1,4:0,81:-0,51; 13:1,73:0,96:-0,4; 14:1,26:0,79:-0,5; 15:1,87:0,99:-0,71; 16:1,16:0,69:-0,75; 21:1,89:1,01:-0,75; 22:1,13:0,67:-0,79; 23:1,58:1,25:0,06; 24:1,48:1,34:-0,06; 25:1,8:1,33:-0,13; 26:1,48:1,78:-0,15; 27:1,74:1,49:0,6; 28:1,52:2,21:0,18; 31:1,75:1,61:0,53; 32:1,49:2,34:-0,08
0:1,52:0,57:-1,17; 11:1,59:0,84:-0,51; 12:1,4:0,8:-0,59; 13:1,72:0,95:-0,49; 14:1,25:0,79:-0,68; 15:1,86:0,99:-0,84; 16:1,15:0,69:-1,04; 21:1,89:1,01:-0,89; 22:1,13:0,66:-1,08; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,79:1,32:-0,32; 26:1,48:1,78:-0,34; 27:1,74:1,49:0,4; 28:1,51:2,2:-0,02; 31:1,75:1,6:0,29; 32:1,49:2,34:-0,31
0:1,52:0,57:-1,12; 11:1,6:0,84:-0,48; 12:1,4:0,8:-0,55; 13:1,72:0,95:-0,44; 14:1,25:0,79:-0,61; 15:1,87:0,99:-0,75; 16:1,15:0,69:-0,95; 21:1,89:1,01:-0,8; 22:1,13:0,66:-0,99; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,8:1,33:-0,24; 26:1,48:1,78:-0,31; 27:1,74:1,49:0,48; 28:1,51:2,2:0,03; 31:1,75:1,6:0,38; 32:1,49:2,34:-0,24
0:1,52:0,57:-1,1; 11:1,6:0,84:-0,48; 12:1,4:0,8:-0,54; 13:1,72:0,95:-0,45; 14:1,26:0,79:-0,54; 15:1,87:0,99:-0,75; 16:1,15:0,69:-0,81; 21:1,89:1,01:-0,8; 22:1,13:0,66:-0,85; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,8:1,33:-0,16; 26:1,48:1,78:-0,11; 27:1,74:1,5:0,59; 28:1,51:2,21:0,21; 31:1,75:1,61:0,53; 32:1,49:2,34:-0,05
0:1,52:0,57:-1,07; 11:1,6:0,84:-0,45; 12:1,4:0,81:-0,51; 13:1,73:0,96:-0,4; 14:1,26:0,79:-0,5; 15:1,87:0,99:-0,71; 16:1,16:0,69:-0,75; 21:1,89:1,01:-0,75; 22:1,13:0,67:-0,79; 23:1,58:1,25:0,06; 24:1,48:1,34:-0,06; 25:1,8:1,33:-0,13; 26:1,48:1,78:-0,15; 27:1,74:1,49:0,6; 28:1,52:2,21:0,18; 31:1,75:1,61:0,53; 32:1,49:2,34:-0,08
0:1,52:0,58:-1,13; 11:1,6:0,85:-0,45; 12:1,4:0,81:-0,55; 13:1,73:0,96:-0,41; 14:1,26:0,79:-0,6; 15:1,87:1:-0,73; 16:1,16:0,7:-0,9; 21:1,9:1,01:-0,78; 22:1,13:0,67:-0,94; 23:1,58:1,25:0,06; 24:1,48:1,34:-0,06; 25:1,8:1,33:-0,21; 26:1,48:1,76:-0,34; 27:1,74:1,5:0,53; 28:1,52:2,2:-0,01; 31:1,75:1,61:0,43; 32:1,5:2,35:-0,3
0:1,52:0,57:-1,17; 11:1,59:0,84:-0,51; 12:1,4:0,8:-0,59; 13:1,72:0,95:-0,49; 14:1,25:0,79:-0,68; 15:1,86:0,99:-0,84; 16:1,15:0,69:-1,04; 21:1,89:1,01:-0,89; 22:1,13:0,66:-1,08; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,79:1,32:-0,32; 26:1,48:1,78:-0,34; 27:1,74:1,49:0,4; 28:1,51:2,2:-0,02; 31:1,75:1,6:0,29; 32:1,49:2,34:-0,31
0:1,52:0,57:-1,12; 11:1,6:0,84:-0,48; 12:1,4:0,8:-0,55; 13:1,72:0,95:-0,44; 14:1,25:0,79:-0,61; 15:1,87:0,99:-0,75; 16:1,15:0,69:-0,95; 21:1,89:1,01:-0,8; 22:1,13:0,66:-0,99; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,8:1,33:-0,24; 26:1,48:1,78:-0,31; 27:1,74:1,49:0,48; 28:1,51:2,2:0,03; 31:1,75:1,6:0,38; 32:1,49:2,34:-0,24
0:1,52:0,57:-1,1; 11:1,6:0,84:-0,48; 12:1,4:0,8:-0,54; 13:1,72:0,95:-0,45; 14:1,26:0,79:-0,54; 15:1,87:0,99:-0,75; 16:1,15:0,69:-0,81; 21:1,89:1,01:-0,8; 22:1,13:0,66:-0,85; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,8:1,33:-0,16; 26:1,48:1,78:-0,11; 27:1,74:1,5:0,59; 28:1,51:2,21:0,21; 31:1,75:1,61:0,53; 32:1,49:2,34:-0,05
0:1,52:0,57:-1,07; 11:1,6:0,84:-0,45; 12:1,4:0,81:-0,51; 13:1,73:0,96:-0,4; 14:1,26:0,79:-0,5; 15:1,87:0,99:-0,71; 16:1,16:0,69:-0,75; 21:1,89:1,01:-0,75; 22:1,13:0,67:-0,79; 23:1,58:1,25:0,06; 24:1,48:1,34:-0,06; 25:1,8:1,33:-0,13; 26:1,48:1,78:-0,15; 27:1,74:1,49:0,6; 28:1,52:2,21:0,18; 31:1,75:1,61:0,53; 32:1,49:2,34:-0,08
0:1,52:0,58:-1,13; 11:1,6:0,85:-0,45; 12:1,4:0,81:-0,55; 13:1,73:0,96:-0,41; 14:1,26:0,79:-0,6; 15:1,87:1:-0,73; 16:1,16:0,7:-0,9; 21:1,9:1,01:-0,78; 22:1,13:0,67:-0,94; 23:1,58:1,25:0,06; 24:1,48:1,34:-0,06; 25:1,8:1,33:-0,21; 26:1,48:1,76:-0,34; 27:1,74:1,5:0,53; 28:1,52:2,2:-0,01; 31:1,75:1,61:0,43; 32:1,5:2,35:-0,3
0:1,52:0,58:-1,12; 11:1,6:0,85:-0,47; 12:1,41:0,81:-0,55; 13:1,73:0,96:-0,43; 14:1,26:0,79:-0,57; 15:1,87:1:-0,73; 16:1,16:0,7:-0,83; 21:1,9:1,01:-0,78; 22:1,13:0,67:-0,87; 23:1,58:1,26:0,06; 24:1,48:1,35:-0,06; 25:1,8:1,34:-0,16; 26:1,49:1,8:-0,15; 27:1,74:1,5:0,61; 28:1,52:2,22:0,21; 31:1,75:1,61:0,54; 32:1,5:2,35:-0,05
0:1,52:0,57:-1,17; 11:1,59:0,84:-0,51; 12:1,4:0,8:-0,59; 13:1,72:0,95:-0,49; 14:1,25:0,79:-0,68; 15:1,86:0,99:-0,84; 16:1,15:0,69:-1,04; 21:1,89:1,01:-0,89; 22:1,13:0,66:-1,08; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,79:1,32:-0,32; 26:1,48:1,78:-0,34; 27:1,74:1,49:0,4; 28:1,51:2,2:-0,02; 31:1,75:1,6:0,29; 32:1,49:2,34:-0,31
0:1,52:0,57:-1,12; 11:1,6:0,84:-0,48; 12:1,4:0,8:-0,55; 13:1,72:0,95:-0,44; 14:1,25:0,79:-0,61; 15:1,87:0,99:-0,75; 16:1,15:0,69:-0,95; 21:1,89:1,01:-0,8; 22:1,13:0,66:-0,99; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,8:1,33:-0,24; 26:1,48:1,78:-0,31; 27:1,74:1,49:0,48; 28:1,51:2,2:0,03; 31:1,75:1,6:0,38; 32:1,49:2,34:-0,24
0:1,52:0,57:-1,1; 11:1,6:0,84:-0,48; 12:1,4:0,8:-0,54; 13:1,72:0,95:-0,45; 14:1,26:0,79:-0,54; 15:1,87:0,99:-0,75; 16:1,15:0,69:-0,81; 21:1,89:1,01:-0,8; 22:1,13:0,66:-0,85; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,8:1,33:-0,16; 26:1,48:1,78:-0,11; 27:1,74:1,5:0,59; 28:1,51:2,21:0,21; 31:1,75:1,61:0,53; 32:1,49:2,34:-0,05
0:1,52:0,57:-1,07; 11:1,6:0,84:-0,45; 12:1,4:0,81:-0,51; 13:1,73:0,96:-0,4; 14:1,26:0,79:-0,5; 15:1,87:0,99:-0,71; 16:1,16:0,69:-0,75; 21:1,89:1,01:-0,75; 22:1,13:0,67:-0,79; 23:1,58:1,25:0,06; 24:1,48:1,34:-0,06; 25:1,8:1,33:-0,13; 26:1,48:1,78:-0,15; 27:1,74:1,49:0,6; 28:1,52:2,21:0,18; 31:1,75:1,61:0,53; 32:1,49:2,34:-0,08
0:1,52:0,58:-1,13; 11:1,6:0,85:-0,45; 12:1,4:0,81:-0,55; 13:1,73:0,96:-0,41; 14:1,26:0,79:-0,6; 15:1,87:1:-0,73; 16:1,16:0,7:-0,9; 21:1,9:1,01:-0,78; 22:1,13:0,67:-0,94; 23:1,58:1,25:0,06; 24:1,48:1,34:-0,06; 25:1,8:1,33:-0,21; 26:1,48:1,76:-0,34; 27:1,74:1,5:0,53; 28:1,52:2,2:-0,01; 31:1,75:1,61:0,43; 32:1,5:2,35:-0,3
0:1,52:0,58:-1,12; 11:1,6:0,85:-0,47; 12:1,41:0,81:-0,55; 13:1,73:0,96:-0,43; 14:1,26:0,79:-0,57; 15:1,87:1:-0,73; 16:1,16:0,7:-0,83; 21:1,9:1,01:-0,78; 22:1,13:0,67:-0,87; 23:1,58:1,26:0,06; 24:1,48:1,35:-0,06; 25:1,8:1,34:-0,16; 26:1,49:1,8:-0,15; 27:1,74:1,5:0,61; 28:1,52:2,22:0,21; 31:1,75:1,61:0,54; 32:1,5:2,35:-0,05
0:1,53:0,58:-1,09; 11:1,6:0,85:-0,47; 12:1,41:0,81:-0,55; 13:1,73:0,96:-0,41; 14:1,26:0,8:-0,56; 15:1,87:1:-0,69; 16:1,16:0,71:-0,82; 21:1,9:1,02:-0,74; 22:1,14:0,68:-0,86; 23:1,58:1,27:0,07; 24:1,48:1,36:-0,07; 25:1,8:1,35:-0,08; 26:1,49:1,81:-0,12; 27:1,74:1,51:0,65; 28:1,52:2,23:0,23; 31:1,75:1,62:0,58; 32:1,5:2,35:-0,03
0:1,52:0,57:-1,17; 11:1,59:0,84:-0,51; 12:1,4:0,8:-0,59; 13:1,72:0,95:-0,49; 14:1,25:0,79:-0,68; 15:1,86:0,99:-0,84; 16:1,15:0,69:-1,04; 21:1,89:1,01:-0,89; 22:1,13:0,66:-1,08; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,79:1,32:-0,32; 26:1,48:1,78:-0,34; 27:1,74:1,49:0,4; 28:1,51:2,2:-0,02; 31:1,75:1,6:0,29; 32:1,49:2,34:-0,31
0:1,52:0,57:-1,12; 11:1,6:0,84:-0,48; 12:1,4:0,8:-0,55; 13:1,72:0,95:-0,44; 14:1,25:0,79:-0,61; 15:1,87:0,99:-0,75; 16:1,15:0,69:-0,95; 21:1,89:1,01:-0,8; 22:1,13:0,66:-0,99; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,8:1,33:-0,24; 26:1,48:1,78:-0,31; 27:1,74:1,49:0,48; 28:1,51:2,2:0,03; 31:1,75:1,6:0,38; 32:1,49:2,34:-0,24
0:1,52:0,57:-1,1; 11:1,6:0,84:-0,48; 12:1,4:0,8:-0,54; 13:1,72:0,95:-0,45; 14:1,26:0,79:-0,54; 15:1,87:0,99:-0,75; 16:1,15:0,69:-0,81; 21:1,89:1,01:-0,8; 22:1,13:0,66:-0,85; 23:1,58:1,25:0,06; 24:1,48:1,33:-0,06; 25:1,8:1,33:-0,16; 26:1,48:1,78:-0,11; 27:1,74:1,5:0,59; 28:1,51:2,21:0,21; 31:1,75:1,61:0,53; 32:1,49:2,34:-0,05
0:1,52:0,57:-1,07; 11:1,6:0,84:-0,45; 12:1,4:0,81:-0,51; 13:1,73:0,96:-0,4; 14:1,26:0,79:-0,5; 15:1,87:0,99:-0,71; 16:1,16:0,69:-0,75; 21:1,89:1,01:-0,75; 22:1,13:0,67:-0,79; 23:1,58:1,25:0,06; 24:1,48:1,34:-0,06; 25:1,8:1,33:-0,13; 26:1,48:1,78:-0,15; 27:1,74:1,49:0,6; 28:1,52:2,21:0,18; 31:1,75:1,61:0,53; 32:1,49:2,34:-0,08
0:1,52:0,58:-1,13; 11:1,6:0,85:-0,45; 12:1,4:0,81:-0,55; 13:1,73:0,96:-0,41; 14:1,26:0,79:-0,6; 15:1,87:1:-0,73; 16:1,16:0,7:-0,9; 21:1,9:1,01:-0,78; 22:1,13:0,67:-0,94; 23:1,58:1,25:0,06; 24:1,48:1,34:-0,06; 25:1,8:1,33:-0,21; 26:1,48:1,76:-0,34; 27:1,74:1,5:0,53; 28:1,52:2,2:-0,01; 31:1,75:1,61:0,43; 32:1,5:2,35:-0,3
0:1,52:0,58:-1,12; 11:1,6:0,85:-0,47; 12:1,41:0,81:-0,55; 13:1,73:0,96:-0,43; 14:1,26:0,79:-0,57; 15:1,87:1:-0,73; 16:1,16:0,7:-0,83; 21:1,9:1,01:-0,78; 22:1,13:0,67:-0,87; 23:1,58:1,26:0,06; 24:1,48:1,35:-0,06; 25:1,8:1,34:-0,16; 26:1,49:1,8:-0,15; 27:1,74:1,5:0,61; 28:1,52:2,22:0,21; 31:1,75:1,61:0,54; 32:1,5:2,35:-0,05
0:1,53:0,58:-1,09; 11:1,6:0,85:-0,47; 12:1,41:0,81:-0,55; 13:1,73:0,96:-0,41; 14:1,26:0,8:-0,56; 15:1,87:1:-0,69; 16:1,16:0,71:-0,82; 21:1,9:1,02:-0,74; 22:1,14:0,68:-0,86; 23:1,58:1,27:0,07; 24:1,48:1,36:-0,07; 25:1,8:1,35:-0,08; 26:1,49:1,81:-0,12; 27:1,74:1,51:0,65; 28:1,52:2,23:0,23; 31:1,75:1,62:0,58; 32:1,5:2,35:-0,03
0:1,53:0,59:-1,08; 11:1,6:0,86:-0,47; 12:1,41:0,82:-0,54; 13:1,73:0,97:-0,4; 14:1,26:0,8:-0,54; 15:1,87:1:-0,64; 16:1,16:0,71:-0,78; 21:1,9:1,02:-0,69; 22:1,14:0,68:-0,81; 23:1,58:1,27:0,07; 24:1,48:1,36:-0,07; 25:1,81:1,36:-0,05; 26:1,49:1,82:-0,09; 27:1,74:1,51:0,67; 28:1,52:2,23:0,28; 31:1,75:1,62:0,61; 32:1,5:2,35:0,04
