0:1,92:0,95:-0,95; 11:2,06:1,2:-0,62; 12:1,85:1,28:-0,27; 13:2,09:0,78:-1,07; 14:1,68:1,39:-0,15; 15:1,99:0,44:-1,38; 16:1,52:1,42:-0,17; 21:1,96:0,42:-1,39; 22:1,48:1,42:-0,21; 23:2,05:1,93:-0,07; 24:1,92:1,98:0,07; 25:2,19:2,42:-0,39; 26:1,95:2,58:0,08; 27:2,31:2,93:-0,03; 28:2,02:3,19:0,33; 31:2,36:3,11:-0,34; 32:2:3,34:-0,04
0:1,92:0,95:-0,95; 11:2,06:1,2:-0,62; 12:1,85:1,28:-0,27; 13:2,09:0,78:-1,07; 14:1,68:1,39:-0,15; 15:1,99:0,44:-1,38; 16:1,52:1,42:-0,17; 21:1,96:0,42:-1,39; 22:1,48:1,42:-0,21; 23:2,05:1,93:-0,07; 24:1,92:1,98:0,07; 25:2,19:2,42:-0,39; 26:1,95:2,58:0,08; 27:2,31:2,93:-0,03; 28:2,02:3,19:0,33; 31:2,36:3,11:-0,34; 32:2:3,34:-0,04
0:1,92:0,95:-0,97; 11:2,06:1,19:-0,63; 12:1,85:1,27:-0,31; 13:2,09:0,78:-1,08; 14:1,68:1,39:-0,2; 15:1,99:0,43:-1,37; 16:1,53:1,42:-0,2; 21:1,96:0,42:-1,37; 22:1,49:1,42:-0,23; 23:2,06:1,93:-0,06; 24:1,92:1,98:0,06; 25:2,19:2,42:-0,39; 26:1,95:2,58:0,01; 27:2,31:2,92:-0,08; 28:2,03:3,19:0,21; 31:2,36:3,11:-0,4; 32:2:3,34:-0,15
0:1,92:0,95:-0,95; 11:2,06:1,2:-0,62; 12:1,85:1,28:-0,27; 13:2,09:0,78:-1,07; 14:1,68:1,39:-0,15; 15:1,99:0,44:-1,38; 16:1,52:1,42:-0,17; 21:1,96:0,42:-1,39; 22:1,48:1,42:-0,21; 23:2,05:1,93:-0,07; 24:1,92:1,98:0,07; 25:2,19:2,42:-0,39; 26:1,95:2,58:0,08; 27:2,31:2,93:-0,03; 28:2,02:3,19:0,33; 31:2,36:3,11:-0,34; 32:2:3,34:-0,04
0:1,92:0,95:-0,97; 11:2,06:1,19:-0,63; 12:1,85:1,27:-0,31; 13:2,09:0,78:-1,08; 14:1,68:1,39:-0,2; 15:1,99:0,43:-1,37; 16:1,53:1,42:-0,2; 21:1,96:0,42:-1,37; 22:1,49:1,42:-0,23; 23:2,06:1,93:-0,06; 24:1,92:1,98:0,06; 25:2,19:2,42:-0,39; 26:1,95:2,58:0,01; 27:2,31:2,92:-0,08; 28:2,03:3,19:0,21; 31:2,36:3,11:-0,4; 32:2:3,34:-0,15
0:1,92:0,96:-1,02; 11:2,06:1,19:-0,63; 12:1,85:1,28:-0,37; 13:2,09:0,78:-1; 14:1,69:1,39:-0,27; 15:2:0,44:-1,22; 16:1,53:1,42:-0,28; 21:1,96:0,42:-1,23; 22:1,49:1,42:-0,31; 23:2,06:1,93:-0,04; 24:1,92:1,98:0,04; 25:2,19:2,42:-0,3; 26:1,96:2,58:-0,05; 27:2,31:2,92:0,02; 28:2,03:3,19:0,2; 31:2,36:3,11:-0,3; 32:2:3,34:-0,16
0:1,92:0,95:-0,95; 11:2,06:1,2:-0,62; 12:1,85:1,28:-0,27; 13:2,09:0,78:-1,07; 14:1,68:1,39:-0,15; 15:1,99:0,44:-1,38; 16:1,52:1,42:-0,17; 21:1,96:0,42:-1,39; 22:1,48:1,42:-0,21; 23:2,05:1,93:-0,07; 24:1,92:1,98:0,07; 25:2,19:2,42:-0,39; 26:1,95:2,58:0,08; 27:2,31:2,93:-0,03; 28:2,02:3,19:0,33; 31:2,36:3,11:-0,34; 32:2:3,34:-0,04
0:1,92:0,95:-0,97; 11:2,06:1,19:-0,63; 12:1,85:1,27:-0,31; 13:2,09:0,78:-1,08; 14:1,68:1,39:-0,2; 15:1,99:0,43:-1,37; 16:1,53:1,42:-0,2; 21:1,96:0,42:-1,37; 22:1,49:1,42:-0,23; 23:2,06:1,93:-0,06; 24:1,92:1,98:0,06; 25:2,19:2,42:-0,39; 26:1,95:2,58:0,01; 27:2,31:2,92:-0,08; 28:2,03:3,19:0,21; 31:2,36:3,11:-0,4; 32:2:3,34:-0,15
0:1,92:0,96:-1,02; 11:2,06:1,19:-0,63; 12:1,85:1,28:-0,37; 13:2,09:0,78:-1; 14:1,69:1,39:-0,27; 15:2:0,44:-1,22; 16:1,53:1,42:-0,28; 21:1,96:0,42:-1,23; 22:1,49:1,42:-0,31; 23:2,06:1,93:-0,04; 24:1,92:1,98:0,04; 25:2,19:2,42:-0,3; 26:1,96:2,58:-0,05; 27:2,31:2,92:0,02; 28:2,03:3,19:0,2; 31:2,36:3,11:-0,3; 32:2:3,34:-0,16
0:1,93:0,96:-0,95; 11:2,06:1,19:-0,54; 12:1,85:1,28:-0,33; 13:2,09:0,78:-0,9; 14:1,69:1,4:-0,24; 15:2:0,44:-1,13; 16:1,54:1,42:-0,27; 21:1,96:0,42:-1,13; 22:1,5:1,42:-0,3; 23:2,06:1,93:-0,03; 24:1,93:1,98:0,03; 25:2,2:2,42:-0,28; 26:1,96:2,59:-0,02; 27:2,32:2,93:0,05; 28:2,03:3,19:0,22; 31:2,37:3,11:-0,27; 32:2,01:3,35:-0,14
0:1,92:0,95:-0,95; 11:2,06:1,2:-0,62; 12:1,85:1,28:-0,27; 13:2,09:0,78:-1,07; 14:1,68:1,39:-0,15; 15:1,99:0,44:-1,38; 16:1,52:1,42:-0,17; 21:1,96:0,42:-1,39; 22:1,48:1,42:-0,21; 23:2,05:1,93:-0,07; 24:1,92:1,98:0,07; 25:2,19:2,42:-0,39; 26:1,95:2,58:0,08; 27:2,31:2,93:-0,03; 28:2,02:3,19:0,33; 31:2,36:3,11:-0,34; 32:2:3,34:-0,04
0:1,92:0,95:-0,97; 11:2,06:1,19:-0,63; 12:1,85:1,27:-0,31; 13:2,09:0,78:-1,08; 14:1,68:1,39:-0,2; 15:1,99:0,43:-1,37; 16:1,53:1,42:-0,2; 21:1,96:0,42:-1,37; 22:1,49:1,42:-0,23; 23:2,06:1,93:-0,06; 24:1,92:1,98:0,06; 25:2,19:2,42:-0,39; 26:1,95:2,58:0,01; 27:2,31:2,92:-0,08; 28:2,03:3,19:0,21; 31:2,36:3,11:-0,4; 32:2:3,34:-0,15
0:1,92:0,96:-1,02; 11:2,06:1,19:-0,63; 12:1,85:1,28:-0,37; 13:2,09:0,78:-1; 14:1,69:1,39:-0,27; 15:2:0,44:-1,22; 16:1,53:1,42:-0,28; 21:1,96:0,42:-1,23; 22:1,49:1,42:-0,31; 23:2,06:1,93:-0,04; 24:1,92:1,98:0,04; 25:2,19:2,42:-0,3; 26:1,96:2,58:-0,05; 27:2,31:2,92:0,02; 28:2,03:3,19:0,2; 31:2,36:3,11:-0,3; 32:2:3,34:-0,16
0:1,93:0,96:-0,95; 11:2,06:1,19:-0,54; 12:1,85:1,28:-0,33; 13:2,09:0,78:-0,9; 14:1,69:1,4:-0,24; 15:2:0,44:-1,13; 16:1,54:1,42:-0,27; 21:1,96:0,42:-1,13; 22:1,5:1,42:-0,3; 23:2,06:1,93:-0,03; 24:1,93:1,98:0,03; 25:2,2:2,42:-0,28; 26:1,96:2,59:-0,02; 27:2,32:2,93:0,05; 28:2,03:3,19:0,22; 31:2,37:3,11:-0,27; 32:2,01:3,35:-0,14
0:1,94:0,96:-0,97; 11:2,07:1,2:-0,55; 12:1,86:1,28:-0,36; 13:2,09:0,79:-0,92; 14:1,69:1,4:-0,29; 15:2,01:0,44:-1,11; 16:1,54:1,42:-0,32; 21:1,97:0,43:-1,12; 22:1,5:1,42:-0,35; 23:2,06:1,93:-0,02; 24:1,93:1,98:0,02; 25:2,2:2,42:-0,28; 26:1,96:2,59:-0,02; 27:2,32:2,93:0,04; 28:2,03:3,19:0,21; 31:2,37:3,11:-0,26; 32:2,01:3,35:-0,14
0:1,92:0,95:-0,95; 11:2,06:1,2:-0,62; 12:1,85:1,28:-0,27; 13:2,09:0,78:-1,07; 14:1,68:1,39:-0,15; 15:1,99:0,44:-1,38; 16:1,52:1,42:-0,17; 21:1,96:0,42:-1,39; 22:1,48:1,42:-0,21; 23:2,05:1,93:-0,07; 24:1,92:1,98:0,07; 25:2,19:2,42:-0,39; 26:1,95:2,58:0,08; 27:2,31:2,93:-0,03; 28:2,02:3,19:0,33; 31:2,36:3,11:-0,34; 32:2:3,34:-0,04
0:1,92:0,95:-0,97; 11:2,06:1,19:-0,63; 12:1,85:1,27:-0,31; 13:2,09:0,78:-1,08; 14:1,68:1,39:-0,2; 15:1,99:0,43:-1,37; 16:1,53:1,42:-0,2; 21:1,96:0,42:-1,37; 22:1,49:1,42:-0,23; 23:2,06:1,93:-0,06; 24:1,92:1,98:0,06; 25:2,19:2,42:-0,39; 26:1,95:2,58:0,01; 27:2,31:2,92:-0,08; 28:2,03:3,19:0,21; 31:2,36:3,11:-0,4; 32:2:3,34:-0,15
0:1,92:0,96:-1,02; 11:2,06:1,19:-0,63; 12:1,85:1,28:-0,37; 13:2,09:0,78:-1; 14:1,69:1,39:-0,27; 15:2:0,44:-1,22; 16:1,53:1,42:-0,28; 21:1,96:0,42:-1,23; 22:1,49:1,42:-0,31; 23:2,06:1,93:-0,04; 24:1,92:1,98:0,04; 25:2,19:2,42:-0,3; 26:1,96:2,58:-0,05; 27:2,31:2,92:0,02; 28:2,03:3,19:0,2; 31:2,36:3,11:-0,3; 32:2:3,34:-0,16
0:1,93:0,96:-0,95; 11:2,06:1,19:-0,54; 12:1,85:1,28:-0,33; 13:2,09:0,78:-0,9; 14:1,69:1,4:-0,24; 15:2:0,44:-1,13; 16:1,54:1,42:-0,27; 21:1,96:0,42:-1,13; 22:1,5:1,42:-0,3; 23:2,06:1,93:-0,03; 24:1,93:1,98:0,03; 25:2,2:2,42:-0,28; 26:1,96:2,59:-0,02; 27:2,32:2,93:0,05; 28:2,03:3,19:0,22; 31:2,37:3,11:-0,27; 32:2,01:3,35:-0,14
0:1,94:0,96:-0,97; 11:2,07:1,2:-0,55; 12:1,86:1,28:-0,36; 13:2,09:0,79:-0,92; 14:1,69:1,4:-0,29; 15:2,01:0,44:-1,11; 16:1,54:1,42:-0,32; 21:1,97:0,43:-1,12; 22:1,5:1,42:-0,35; 23:2,06:1,93:-0,02; 24:1,93:1,98:0,02; 25:2,2:2,42:-0,28; 26:1,96:2,59:-0,02; 27:2,32:2,93:0,04; 28:2,03:3,19:0,21; 31:2,37:3,11:-0,26; 32:2,01:3,35:-0,14
0:1,94:0,96:-0,93; 11:2,08:1,2:-0,55; 12:1,86:1,28:-0,32; 13:2,1:0,79:-0,92; 14:1,69:1,4:-0,27; 15:2,01:0,45:-1,13; 16:1,54:1,42:-0,3; 21:1,97:0,43:-1,14; 22:1,51:1,42:-0,34; 23:2,07:1,93:-0,03; 24:1,94:1,99:0,03; 25:2,21:2,42:-0,26; 26:1,97:2,6:0,01; 27:2,33:2,92:0,07; 28:2,04:3,2:0,27; 31:2,38:3,11:-0,23; 32:2,02:3,35:-0,07
