0:0,94:0,38:-0,49; 11:1,01:0,5:-0,31; 12:0,9:0,55:-0,17; 13:1,02:0,29:-0,51; 14:0,82:0,61:-0,13; 15:0,97:0,12:-0,63; 16:0,74:0,62:-0,16; 21:0,96:0,11:-0,63; 22:0,73:0,62:-0,18; 23:1:0,86:-0,02; 24:0,94:0,89:0,02; 25:1,07:1,11:-0,1; 26:0,95:1,19:0,01; 27:1,13:1,34:0,08; 28:0,99:1,47:0,16; 31:1,15:1,43:-0,07; 32:0,97:1,55:-0,01
0:0,94:0,38:-0,49; 11:1,01:0,5:-0,31; 12:0,9:0,55:-0,17; 13:1,02:0,29:-0,51; 14:0,82:0,61:-0,13; 15:0,97:0,12:-0,63; 16:0,74:0,62:-0,16; 21:0,96:0,11:-0,63; 22:0,73:0,62:-0,18; 23:1:0,86:-0,02; 24:0,94:0,89:0,02; 25:1,07:1,11:-0,1; 26:0,95:1,19:0,01; 27:1,13:1,34:0,08; 28:0,99:1,47:0,16; 31:1,15:1,43:-0,07; 32:0,97:1,55:-0,01
0:0,94:0,38:-0,47; 11:1,01:0,5:-0,28; 12:0,9:0,55:-0,14; 13:1,02:0,29:-0,48; 14:0,82:0,61:-0,09; 15:0,97:0,12:-0,6; 16:0,74:0,62:-0,13; 21:0,95:0,11:-0,61; 22:0,73:0,62:-0,15; 23:1:0,86:-0,02; 24:0,94:0,89:0,02; 25:1,07:1,11:-0,12; 26:0,95:1,19:0,02; 27:1,13:1,34:0,05; 28:0,99:1,47:0,16; 31:1,15:1,43:-0,11; 32:0,97:1,55:-0,01
0:0,94:0,38:-0,49; 11:1,01:0,5:-0,31; 12:0,9:0,55:-0,17; 13:1,02:0,29:-0,51; 14:0,82:0,61:-0,13; 15:0,97:0,12:-0,63; 16:0,74:0,62:-0,16; 21:0,96:0,11:-0,63; 22:0,73:0,62:-0,18; 23:1:0,86:-0,02; 24:0,94:0,89:0,02; 25:1,07:1,11:-0,1; 26:0,95:1,19:0,01; 27:1,13:1,34:0,08; 28:0,99:1,47:0,16; 31:1,15:1,43:-0,07; 32:0,97:1,55:-0,01
0:0,94:0,38:-0,47; 11:1,01:0,5:-0,28; 12:0,9:0,55:-0,14; 13:1,02:0,29:-0,48; 14:0,82:0,61:-0,09; 15:0,97:0,12:-0,6; 16:0,74:0,62:-0,13; 21:0,95:0,11:-0,61; 22:0,73:0,62:-0,15; 23:1:0,86:-0,02; 24:0,94:0,89:0,02; 25:1,07:1,11:-0,12; 26:0,95:1,19:0,02; 27:1,13:1,34:0,05; 28:0,99:1,47:0,16; 31:1,15:1,43:-0,11; 32:0,97:1,55:-0,01
0:0,93:0,38:-0,46; 11:1,01:0,5:-0,29; 12:0,9:0,55:-0,13; 13:1,02:0,29:-0,51; 14:0,82:0,61:-0,08; 15:0,97:0,12:-0,65; 16:0,74:0,62:-0,11; 21:0,95:0,11:-0,66; 22:0,73:0,62:-0,13; 23:1:0,86:-0,03; 24:0,93:0,89:0,03; 25:1,06:1,11:-0,13; 26:0,95:1,19:0,03; 27:1,13:1,34:0,05; 28:0,99:1,47:0,18; 31:1,14:1,43:-0,1; 32:0,97:1,55:0,01
0:0,94:0,38:-0,49; 11:1,01:0,5:-0,31; 12:0,9:0,55:-0,17; 13:1,02:0,29:-0,51; 14:0,82:0,61:-0,13; 15:0,97:0,12:-0,63; 16:0,74:0,62:-0,16; 21:0,96:0,11:-0,63; 22:0,73:0,62:-0,18; 23:1:0,86:-0,02; 24:0,94:0,89:0,02; 25:1,07:1,11:-0,1; 26:0,95:1,19:0,01; 27:1,13:1,34:0,08; 28:0,99:1,47:0,16; 31:1,15:1,43:-0,07; 32:0,97:1,55:-0,01
0:0,94:0,38:-0,47; 11:1,01:0,5:-0,28; 12:0,9:0,55:-0,14; 13:1,02:0,29:-0,48; 14:0,82:0,61:-0,09; 15:0,97:0,12:-0,6; 16:0,74:0,62:-0,13; 21:0,95:0,11:-0,61; 22:0,73:0,62:-0,15; 23:1:0,86:-0,02; 24:0,94:0,89:0,02; 25:1,07:1,11:-0,12; 26:0,95:1,19:0,02; 27:1,13:1,34:0,05; 28:0,99:1,47:0,16; 31:1,15:1,43:-0,11; 32:0,97:1,55:-0,01
0:0,93:0,38:-0,46; 11:1,01:0,5:-0,29; 12:0,9:0,55:-0,13; 13:1,02:0,29:-0,51; 14:0,82:0,61:-0,08; 15:0,97:0,12:-0,65; 16:0,74:0,62:-0,11; 21:0,95:0,11:-0,66; 22:0,73:0,62:-0,13; 23:1:0,86:-0,03; 24:0,93:0,89:0,03; 25:1,06:1,11:-0,13; 26:0,95:1,19:0,03; 27:1,13:1,34:0,05; 28:0,99:1,47:0,18; 31:1,14:1,43:-0,1; 32:0,97:1,55:0,01
0:0,93:0,38:-0,44; 11:1,01:0,5:-0,26; 12:0,9:0,55:-0,13; 13:1,02:0,29:-0,45; 14:0,82:0,61:-0,1; 15:0,97:0,12:-0,57; 16:0,74:0,62:-0,15; 21:0,95:0,11:-0,57; 22:0,73:0,62:-0,17; 23:1:0,87:-0,01; 24:0,93:0,89:0,01; 25:1,07:1,11:-0,08; 26:0,95:1,19:0; 27:1,13:1,34:0,11; 28:0,99:1,47:0,14; 31:1,15:1,43:-0,04; 32:0,97:1,55:-0,03
0:0,94:0,38:-0,49; 11:1,01:0,5:-0,31; 12:0,9:0,55:-0,17; 13:1,02:0,29:-0,51; 14:0,82:0,61:-0,13; 15:0,97:0,12:-0,63; 16:0,74:0,62:-0,16; 21:0,96:0,11:-0,63; 22:0,73:0,62:-0,18; 23:1:0,86:-0,02; 24:0,94:0,89:0,02; 25:1,07:1,11:-0,1; 26:0,95:1,19:0,01; 27:1,13:1,34:0,08; 28:0,99:1,47:0,16; 31:1,15:1,43:-0,07; 32:0,97:1,55:-0,01
0:0,94:0,38:-0,47; 11:1,01:0,5:-0,28; 12:0,9:0,55:-0,14; 13:1,02:0,29:-0,48; 14:0,82:0,61:-0,09; 15:0,97:0,12:-0,6; 16:0,74:0,62:-0,13; 21:0,95:0,11:-0,61; 22:0,73:0,62:-0,15; 23:1:0,86:-0,02; 24:0,94:0,89:0,02; 25:1,07:1,11:-0,12; 26:0,95:1,19:0,02; 27:1,13:1,34:0,05; 28:0,99:1,47:0,16; 31:1,15:1,43:-0,11; 32:0,97:1,55:-0,01
0:0,93:0,38:-0,46; 11:1,01:0,5:-0,29; 12:0,9:0,55:-0,13; 13:1,02:0,29:-0,51; 14:0,82:0,61:-0,08; 15:0,97:0,12:-0,65; 16:0,74:0,62:-0,11; 21:0,95:0,11:-0,66; 22:0,73:0,62:-0,13; 23:1:0,86:-0,03; 24:0,93:0,89:0,03; 25:1,06:1,11:-0,13; 26:0,95:1,19:0,03; 27:1,13:1,34:0,05; 28:0,99:1,47:0,18; 31:1,14:1,43:-0,1; 32:0,97:1,55:0,01
0:0,93:0,38:-0,44; 11:1,01:0,5:-0,26; 12:0,9:0,55:-0,13; 13:1,02:0,29:-0,45; 14:0,82:0,61:-0,1; 15:0,97:0,12:-0,57; 16:0,74:0,62:-0,15; 21:0,95:0,11:-0,57; 22:0,73:0,62:-0,17; 23:1:0,87:-0,01; 24:0,93:0,89:0,01; 25:1,07:1,11:-0,08; 26:0,95:1,19:0; 27:1,13:1,34:0,11; 28:0,99:1,47:0,14; 31:1,15:1,43:-0,04; 32:0,97:1,55:-0,03
0:0,93:0,39:-0,44; 11:1:0,5:-0,26; 12:0,9:0,55:-0,13; 13:1,02:0,29:-0,45; 14:0,82:0,61:-0,1; 15:0,97:0,12:-0,57; 16:0,74:0,62:-0,16; 21:0,95:0,11:-0,58; 22:0,72:0,62:-0,18; 23:1:0,87:-0,01; 24:0,93:0,9:0,01; 25:1,07:1,12:-0,06; 26:0,95:1,19:0; 27:1,12:1,34:0,12; 28:0,99:1,47:0,15; 31:1,14:1,43:-0,02; 32:0,97:1,55:-0,02
0:0,94:0,38:-0,49; 11:1,01:0,5:-0,31; 12:0,9:0,55:-0,17; 13:1,02:0,29:-0,51; 14:0,82:0,61:-0,13; 15:0,97:0,12:-0,63; 16:0,74:0,62:-0,16; 21:0,96:0,11:-0,63; 22:0,73:0,62:-0,18; 23:1:0,86:-0,02; 24:0,94:0,89:0,02; 25:1,07:1,11:-0,1; 26:0,95:1,19:0,01; 27:1,13:1,34:0,08; 28:0,99:1,47:0,16; 31:1,15:1,43:-0,07; 32:0,97:1,55:-0,01
0:0,94:0,38:-0,47; 11:1,01:0,5:-0,28; 12:0,9:0,55:-0,14; 13:1,02:0,29:-0,48; 14:0,82:0,61:-0,09; 15:0,97:0,12:-0,6; 16:0,74:0,62:-0,13; 21:0,95:0,11:-0,61; 22:0,73:0,62:-0,15; 23:1:0,86:-0,02; 24:0,94:0,89:0,02; 25:1,07:1,11:-0,12; 26:0,95:1,19:0,02; 27:1,13:1,34:0,05; 28:0,99:1,47:0,16; 31:1,15:1,43:-0,11; 32:0,97:1,55:-0,01
0:0,93:0,38:-0,46; 11:1,01:0,5:-0,29; 12:0,9:0,55:-0,13; 13:1,02:0,29:-0,51; 14:0,82:0,61:-0,08; 15:0,97:0,12:-0,65; 16:0,74:0,62:-0,11; 21:0,95:0,11:-0,66; 22:0,73:0,62:-0,13; 23:1:0,86:-0,03; 24:0,93:0,89:0,03; 25:1,06:1,11:-0,13; 26:0,95:1,19:0,03; 27:1,13:1,34:0,05; 28:0,99:1,47:0,18; 31:1,14:1,43:-0,1; 32:0,97:1,55:0,01
0:0,93:0,38:-0,44; 11:1,01:0,5:-0,26; 12:0,9:0,55:-0,13; 13:1,02:0,29:-0,45; 14:0,82:0,61:-0,1; 15:0,97:0,12:-0,57; 16:0,74:0,62:-0,15; 21:0,95:0,11:-0,57; 22:0,73:0,62:-0,17; 23:1:0,87:-0,01; 24:0,93:0,89:0,01; 25:1,07:1,11:-0,08; 26:0,95:1,19:0; 27:1,13:1,34:0,11; 28:0,99:1,47:0,14; 31:1,15:1,43:-0,04; 32:0,97:1,55:-0,03
0:0,93:0,39:-0,44; 11:1:0,5:-0,26; 12:0,9:0,55:-0,13; 13:1,02:0,29:-0,45; 14:0,82:0,61:-0,1; 15:0,97:0,12:-0,57; 16:0,74:0,62:-0,16; 21:0,95:0,11:-0,58; 22:0,72:0,62:-0,18; 23:1:0,87:-0,01; 24:0,93:0,9:0,01; 25:1,07:1,12:-0,06; 26:0,95:1,19:0; 27:1,12:1,34:0,12; 28:0,99:1,47:0,15; 31:1,14:1,43:-0,02; 32:0,97:1,55:-0,02
0:0,93:0,39:-0,42; 11:1:0,5:-0,25; 12:0,9:0,55:-0,12; 13:1,02:0,29:-0,43; 14:0,82:0,61:-0,1; 15:0,97:0,12:-0,55; 16:0,74:0,62:-0,16; 21:0,95:0,11:-0,56; 22:0,72:0,63:-0,18; 23:1:0,87:-0,01; 24:0,94:0,9:0,01; 25:1,07:1,12:-0,05; 26:0,95:1,19:0; 27:1,12:1,35:0,13; 28:0,99:1,47:0,14; 31:1,14:1,43:-0,01; 32:0,97:1,55:-0,02
